ID1,ISO3V10,Country,DensAmphRich,DensRept_rich,DensBirdRich,DensMamsRich
1,ARG,Argentina,8.43175499,2.82719327,5.39736846,18.5526329
2,BLZ,Belize,5.27571585,5.14441861,2.16439625,18.6679176
3,BOL,Bolivia,16.5676378,3.44965739,4.46766844,25.68584
4,BRA,Brazil,35.2971268,4.52142795,8.67184557,26.2168282
5,CHL,Chile,4.17126937,1.93416114,4.13513117,7.73664454
6,COL,Colombia,45.9395167,4.11493232,7.98414599,28.2515744
7,CRI,Costa_Rica,21.9299644,2.62692363,3.76963444,23.9849492
8,ECU,Ecuador,4.12116788,3.88792738,1.83656355,29.2816273
9,SLV,El_Salvador,4.86982698,2.88418962,2.33482168,18.8159373
10,GTM,Guatemala,13.7449697,8.56282222,3.14148794,2.12515756
11,GUY,Guyana,12.9193128,1.89483244,0.947416219,2.58477573
12,HND,Honduras,12.4911867,3.78397975,2.63463447,18.637599
13,MEX,Mexico,2.51778276,34.8313227,5.35679677,26.8847189
14,NIC,Nicaragua,7.12512489,2.31851315,2.21994917,17.9997687
15,PAN,Panama,21.5625442,2.43171165,4.12225115,25.2623617
16,PRY,Paraguay,6.81631957,1.66621145,4.69568681,14.1627973
17,PER,Peru,28.8844737,3.95513544,9.28857557,27.8584197
18,SUR,Suriname,9.93735652,2.12884373,0.925582771,19.4372382
19,URY,Uruguay,4.28272146,0.981457435,3.3948782,8.28549458
20,VEN,Venezuela,2.67186163,3.29916415,3.65934698,23.3399375
