RegionCode,ISO3V10,AmphRich,Rept_rich,BirdRich,MamsRich,VA_Mean,PS_Mean,GE_Mean,RL_Mean
LAM,ARG,164,55,105,360,0.28,-0.16,-0.09,-0.63
LAM,BLZ,39,38,16,138,0.74,0.2,-0.3,-0.16
LAM,BOL,267,49,72,404,-0.03,-0.65,-0.51,-0.78
LAM,BRA,859,110,211,638,0.42,-0.1,0.01,-0.35
LAM,CHL,60,29,62,116,1.02,0.64,1.18,1.26
LAM,COL,748,67,130,460,-0.32,-1.89,-0.09,-0.63
LAM,CRI,192,23,33,210,0.97,0.69,0.24,0.51
LAM,ECU,485,47,131,353,-0.26,-0.78,-0.82,-0.95
LAM,SLV,35,21,17,137,0.07,0.01,-0.24,-0.63
LAM,GTM,140,82,32,205,-0.33,-0.8,-0.57,-1.08
LAM,GUY,150,22,11,239,0.24,-0.57,-0.21,-0.59
LAM,HND,128,38,27,191,-0.29,-0.47,-0.6,-0.9
LAM,MEX,372,631,97,473,0.16,-0.45,0.18,-0.49
LAM,NIC,74,24,21,186,-0.23,-0.28,-0.81,-0.78
LAM,PAN,204,23,39,239,0.52,0.05,0.09,-0.16
LAM,PRY,90,22,62,187,-0.34,-0.81,-0.91,-1.06
LAM,PER,482,66,155,464,-0.01,-0.96,-0.37,-0.68
LAM,SUR,107,23,10,210,0.34,0.2,-0.13,-0.24
LAM,URY,48,11,38,92,0.99,0.8,0.5,0.54
LAM,VEN,322,50,57,363,-0.64,-1.24,-0.97,-1.35
APC,AFG,9,28,20,139,-1.36,-2.44,-1.46,-1.83
APC,AUS,224,162,80,281,1.43,0.95,1.81,1.76
APC,BGD,47,54,43,164,-0.46,-1.35,-0.76,-0.88
APC,BTN,32,23,35,174,-0.87,0.86,0.38,0.27
APC,BRN,66,48,100,175,-0.91,1.21,0.77,0.52
APC,KHM,57,64,40,177,-0.88,-0.56,-0.88,-1.11
APC,CHN,381,100,127,604,-1.57,-0.53,0.03,-0.41
APC,FJI,2,5,27,9,-0.3,0.11,-0.43,-0.42
APC,IND,254,119,122,401,0.4,-1.19,-0.05,0.08
APC,IDN,369,158,307,667,-0.22,-1.43,-0.33,-0.74
APC,JPN,59,17,46,107,0.98,0.97,1.36,1.28
APC,LAO,102,49,44,249,-1.62,-0.38,-0.97,-0.98
APC,MYS,213,99,132,313,-0.44,0.21,1.09,0.5
APC,MDV,1,2,2,2,-0.69,0.49,-0.02,0.07
APC,MNG,6,6,21,141,0.19,0.72,-0.43,-0.16
APC,MMR,131,92,101,344,-2.13,-1.22,-1.47,-1.51
APC,NPL,49,30,45,206,-0.74,-1.82,-0.69,-0.72
APC,NZL,7,11,80,9,1.57,1.22,1.77,1.85
APC,PAK,20,52,40,189,-1.04,-2.01,-0.53,-0.84
APC,PNG,266,69,85,252,-0.01,-0.7,-0.67,-1.02
APC,PHL,101,196,144,188,-0.01,-1.49,-0.08,-0.51
APC,WSM,0,4,20,5,0.61,1.12,0.21,0.87
APC,SGP,27,50,75,61,-0.17,1.11,2.12,1.62
APC,SLB,19,13,50,56,0.17,0.04,-1.24,-0.98
APC,LKA,91,57,27,92,-0.32,-1.28,-0.2,0.11
APC,THA,147,102,128,314,-0.18,-0.68,0.26,0.06
APC,VUT,0,11,18,14,0.58,1.2,-0.51,0.21
APC,VNM,170,90,64,286,-1.46,0.22,-0.31,-0.41
CAR,ATG,3,3,8,9,0.43,0.84,0.5,0.94
CAR,BHS,7,6,15,10,1.07,0.9,1.14,1.16
CAR,BRB,2,1,6,9,1.2,1.05,1.36,1.25
CAR,CYM,3,2,9,5,0.9,1.05,1.38,1.15
