ID,ISO3V10,Country,Region_Bio1,RegionCode,GDPgroup,Landlock,No_electricity,Biodiversity,AC_Biodiversity,Capacity_GEF,Capacity_no_GEF,Wealth,Governance
6,ARG,Argentina,Americas,L_AM,Upper,0,0,2.427442635,0.888,1.953354956,0.683575901,-0.290677899,-0.371019807
17,BLZ,Belize,Americas,L_AM,Middle,0,0,-0.369866506,0.456,-0.040652561,-0.269485643,-0.479871144,0.194608994
20,BOL,Bolivia,Americas,L_AM,Middle,1,0,2.585676373,1.561,-0.125668861,-0.434753446,-0.538084473,-1.053921232
23,BRA,Brazil,Americas,L_AM,Middle,0,0,8.481701076,3.284,3.033922544,0.281422038,-0.090175499,0.08446722
34,CHL,Chile,Americas,L_AM,Middle,0,0,0.176828633,-0.076,0.732609472,0.078882934,-0.211509998,2.646252587
36,COL,Colombia,Americas,L_AM,Middle,0,0,5.849824082,3.813,1.393494506,0.270710332,-0.391425039,-1.276485653
39,CRI,Costa_Rica,Americas,L_AM,Middle,0,0,0.727541146,1.605,1.660619452,0.997578426,-0.370840063,1.433193218
49,ECU,Ecuador,Americas,L_AM,Middle,0,0,4.104150496,0.712,0.6631893,-0.154850341,-0.474683616,-1.550592466
51,SLV,El_Salvador,Americas,L_AM,Middle,0,0,-0.50181183,0.275,-0.295554691,-0.56080599,-0.49436482,-0.429854749
66,GTM,Guatemala,Americas,L_AM,Middle,0,0,0.891476705,0.606,0.022408355,-0.586445259,-0.510121115,-1.427262703
69,GUY,Guyana,Americas,L_AM,Middle,0,0,0.364409488,-0.294,-0.585825993,-0.416832248,-0.510303038,-0.635651099
71,HND,Honduras,Americas,L_AM,Middle,0,0,0.393536055,0.795,0.135083965,-0.505786491,-0.53817357,-1.292818759
107,MEX,Mexico,Americas,L_AM,Middle,0,0,7.896738033,3.629,2.588864871,0.495718467,-0.237494142,-0.271799625
118,NIC,Nicaragua,Americas,L_AM,Middle,0,0,-0.047601619,0.296,-0.020068174,-0.530611723,-0.555778263,-1.152251231
124,PAN,Panama,Americas,L_AM,Middle,0,0,0.982849856,1.676,0.694669873,0.281964421,-0.379241982,0.185886254
126,PRY,Paraguay,Americas,L_AM,Middle,1,0,0.558374636,0.409,-0.533119815,-0.5183795,-0.51243299,-1.85885791
127,PER,Peru,Americas,L_AM,Middle,0,0,5.016797634,3.052,0.93525032,-0.288200254,-0.430607712,-0.923227801
153,SUR,Suriname,Americas,L_AM,Middle,0,0,0.045916059,0.309,-0.54278784,-0.458439646,-0.365370541,0.171460739
173,URY,Uruguay,Americas,L_AM,Middle,0,0,-0.427498894,-0.232,0.05827829,-0.188122622,-0.252326019,1.852375142
176,VEN,Venezuela,Americas,L_AM,Middle,0,0,2.463237142,0.582,0.277033693,-0.235421813,-0.210389739,-2.24246689
1,AFG,Afghanistan,Asia_Pacific,A_PA,Lower,1,0,-0.51753529,-0.58,-0.788396028,-0.700378851,-0.58579651,-3.788050835
8,AUS,Australia,Asia_Pacific,A_PA,Upper,0,0,2.8027404,0.681,,1.952246056,1.035749254,3.752878882
13,BGD,Bangladesh,Asia_Pacific,A_PA,Lower,0,0,0.250638946,0.601,-0.670962641,-0.70386988,-0.571370884,-1.979388287
19,BTN,Bhutan,Asia_Pacific,A_PA,Middle,1,0,-0.104810819,-0.218,-0.413804915,-0.616865418,-0.538091125,0.749175833
24,BRN,Brunei_Darussalam,Asia_Pacific,A_PA,Upper,0,0,1.095974445,2.653,-0.320423933,0.404169031,0.380671639,1.06976589
28,KHM,Cambodia,Asia_Pacific,A_PA,Lower,0,1,0.382356436,0.581,-0.263382653,-0.709765709,-0.57555991,-1.940513405
35,CHN,China,Asia_Pacific,A_PA,Middle,0,0,5.035778099,1.606,7.981642103,1.10726291,0.098671075,-1.200221234
56,FJI,Fiji,Asia_Pacific,A_PA,Middle,0,0,-1.171112028,-0.73,-0.648469633,-0.552328759,-0.486685263,-0.529807746
73,IND,India,Asia_Pacific,A_PA,Middle,0,0,3.688832889,1.634,1.560548664,-0.266256168,-0.409838708,-0.396666626
74,IDN,Indonesia,Asia_Pacific,A_PA,Middle,0,0,8.064807795,3.604,0.764800522,-0.378839461,-0.449446474,-1.476556919
81,JPN,Japan,Asia_Pacific,A_PA,Upper,0,0,-0.165570621,-0.169,,1.783418171,1.181773645,2.778253537
88,LAO,Laos,Asia_Pacific,A_PA,Middle,1,0,0.829579117,0.905,-0.593878495,-0.671593374,-0.566076248,-2.192334354
100,MYS,Malaysia,Asia_Pacific,A_PA,Middle,0,0,3.124052211,1.45,0.420893969,0.174174265,-0.320748273,0.885509102
101,MDV,Maldives,Asia_Pacific,A_PA,Middle,0,0,-1.559520083,-1.208,-0.444298898,-0.504257582,-0.409890395,-0.139556913
110,MNG,Mongolia,Asia_Pacific,A_PA,Middle,1,0,-0.668676214,-0.816,0.040506864,-0.565635079,-0.530007488,0.012502114
113,MMR,Myanmar,Asia_Pacific,A_PA,Lower,0,0,2.429328132,1.641,-0.872173179,-0.723975783,,-3.436987888
115,NPL,Nepal,Asia_Pacific,A_PA,Lower,1,1,0.289277206,0.543,-0.277969632,-0.669958842,-0.583529528,-1.926025622
117,NZL,New_Zealand,Asia_Pacific,A_PA,Upper,0,0,-0.400232972,-0.318,,1.61503726,0.364178414,4.125075978
123,PAK,Pakistan,Asia_Pacific,A_PA,Middle,0,0,0.182464715,-0.106,-0.063178498,-0.553918489,-0.552520887,-2.262251326
125,PNG,Papua_New_Guinea,Asia_Pacific,A_PA,Lower,0,0,2.257576386,1.846,-0.559974336,-0.703169177,-0.556109081,-1.505843734
128,PHL,Philippines,Asia_Pacific,A_PA,Middle,0,0,2.964921293,2.694,0.261957732,-0.429874787,-0.519470437,-1.10290456
144,SGP,Singapore,Asia_Pacific,A_PA,Upper,0,0,0.124156665,1.228,,1.528915427,0.645240777,3.345431382
147,SLB,Solomon_Islands,Asia_Pacific,A_PA,Middle,0,0,-0.53344746,0.112,-0.849432235,-0.691051612,-0.561766824,-1.11101869
151,LKA,Sri_Lanka,Asia_Pacific,A_PA,Middle,0,0,-0.050089741,0.517,-0.180814396,-0.636704302,-0.523728888,-0.730833204
160,THA,Thailand,Asia_Pacific,A_PA,Middle,0,0,2.805194992,1.63,-0.14765971,-0.33504718,-0.438781919,-0.218608274
177,VNM,Viet_Nam,Asia_Pacific,A_PA,Middle,0,0,1.84989982,1.769,0.685179822,-0.370616542,-0.553347035,-1.038240958
5,ATG,Antigua_and_Barbuda,Caribe,CAR,Upper,0,0,-1.434031134,-0.817,-0.442034642,-0.096397898,-0.210234058,1.852084726
11,BHS,Bahamas,Caribe,CAR,Upper,0,0,-1.297220021,-0.857,0.14154925,0.27466431,0.074308148,2.695690021
14,BRB,Barbados,Caribe,CAR,Upper,0,0,-1.479575243,-0.968,-0.425905908,-0.102670308,-0.186618493,2.934584288
31,CYM,Cayman_Islands,Caribe,CAR,Upper,0,0,-1.444869999,-0.802,,-0.16234064,,2.721733161
42,CUB,Cuba,Caribe,CAR,Middle,0,0,-0.687412902,-0.347,0.431745884,-0.496678401,,-0.881402835
47,DMA,Dominica,Caribe,CAR,Middle,0,0,-1.405467167,-0.717,-0.584808685,-0.35432497,-0.390189408,1.695493538
48,DOM,Dominican_Republic,Caribe,CAR,Middle,0,0,-0.94179487,-0.529,-0.433959116,-0.356765932,-0.442102286,-0.726488886
65,GRD,Grenada,Caribe,CAR,Middle,0,0,-1.446044006,-0.828,-0.516640855,-0.387256685,-0.37500137,1.178814802
70,HTI,Haiti,Caribe,CAR,Lower,0,1,-0.887617949,-0.329,-0.607002953,-0.667933978,-0.579874143,-2.924942301
80,JAM,Jamaica,Caribe,CAR,Middle,0,0,-1.090213428,-0.499,0.124446556,0.325747046,-0.453090766,-0.136927562
134,KNA,Saint_Kitts_and_Nevis,Caribe,CAR,Middle,0,0,-1.510410733,-1.024,-0.687970976,-0.386444562,-0.210459494,
135,LCA,Saint_Lucia,Caribe,CAR,Middle,0,0,-1.402999443,-0.759,-0.454530552,-0.035041873,-0.393015004,1.929907877
136,VCT,Saint_Vincent_and_the_Grenadines,Caribe,CAR,Middle,0,0,-1.442370453,-0.845,-0.493284245,-0.156957092,-0.415871299,1.834767046
163,TTO,Trinidad_and_Tobago,Caribe,CAR,Upper,0,0,-0.99337158,-0.157,-0.686680543,-0.311435494,-0.13122433,0.345080372
2,ALB,Albania,EasternEurope_CentralAsia,EE_CA,Middle,0,0,-0.85228611,-0.727,-0.290263892,-0.348448162,-0.485202829,-0.921363601
7,ARM,Armenia,EasternEurope_CentralAsia,EE_CA,Middle,1,0,-0.669060213,-0.071,0.057801059,-0.231828071,-0.509175426,-0.80033034
