Genus,Sp,Name,Pattern,HD,SD,GA,YA,MA,OA,PF
Amblyscirtes,tolteca,Amblyscirtes_tolteca,Sand,9,0,24,27,0,0,0
Anthanassa,tulcis,Anthanassa_tulcis,Sand,0,40,18,57,28,4,3
Atrytone,sp,Atrytone_sp,Sand,0,6,0,37,0,0,0
Calephelis,fulmen,Calephelis_fulmen,Sand,3,0,0,10,87,50,0
Calephelis,maya,Calephelis_maya,Sand,2,75,14,89,0,0,0
Calephelis,yucatana,Calephelis_yucatana,Sand,14,159,53,154,9,0,0
Chiomora,asychis,Chiomora_asychis,Sand,4,61,36,64,71,53,0
Chlosyne,lacinia,Chlosyne_lacinia,Sand,0,0,0,4,0,0,0
Euphyes,sp,Euphyes_sp,Sand,0,20,4,8,0,36,33
Euptoieta,hegesia,Euptoieta_hegesia,Sand,0,0,2,4,0,0,0
Heliopetes,arsalte,Heliopetes_arsalte,Sand,0,11,2,12,13,0,0
Heliopetes,laviana,Heliopetes_laviana,Sand,11,102,28,120,106,31,1
Heliopetes,macaira,Heliopetes_macaira,Sand,13,81,25,90,79,12,0
Hylephyla,phylaeus,Hylephyla_phylaeus,Sand,0,0,46,12,0,0,0
Librita,sp,Librita_sp,Sand,0,0,70,0,0,0,0
Phyciodes,phaon,Phyciodes_phaon,Sand,0,1,35,17,0,0,0
Pyrgus,communis,Pyrgus_communis,Sand,14,74,87,125,55,0,0
Pyrgus,oileus,Pyrgus_oileus,Sand,0,80,25,80,81,3,0
Systacea,pulverulenta,Systacea_pulverulenta,Sand,0,0,5,2,0,0,0
Thessalia,theona,Thessalia_theona,Sand,1,3,40,82,6,0,0
Wallengrenia,otho,Wallengrenia_otho,Sand,0,0,4,0,0,0,0
Yvretta,carus,Yvretta_carus,Sand,0,0,13,2,0,0,0
Chlosyne,erodyle,Chlosyne_erodyle,BlackOrange,0,0,0,0,0,0,2
Chlosyne,hippodrome,Chlosyne_hippodrome,BlackOrange,0,0,0,0,1,0,0
Chlosyne,janais,Chlosyne_janais,BlackOrange,0,0,1,0,3,0,0
Chlosyne,lacinia,Chlosyne_lacinia,BlackOrange,0,0,28,64,0,0,0
Agraulis,vanillae,Agraulis_vanillae,ShrubOrange,11,16,90,180,73,9,0
Danaus,eresimus,Danaus_eresimus,ShrubOrange,0,17,7,19,15,0,0
Danaus,gilippus,Danaus_gilippus,ShrubOrange,12,77,14,94,88,27,23
Danaus,plexippus,Danaus_plexippus,ShrubOrange,41,38,57,64,44,32,25
Dione,juno,Dione_juno,ShrubOrange,0,36,17,25,42,43,55
Dryadula,phaetusa,Dryadula_phaetusa,ShrubOrange,0,9,0,12,10,0,0
Dryas,iulia,Dryas_iulia,ShrubOrange,37,69,36,64,82,82,80
Euptoieta,claudia,Euptoieta_claudia,ShrubOrange,0,0,3,4,0,0,0
Euptoieta,hegesia,Euptoieta_hegesia,ShrubOrange,6,0,34,67,0,0,0
Achlyodes,busirus,Achlyodes_busirus,DarkCryptic,0,0,0,0,0,3,4
Aguna,asander,Aguna_asander,DarkCryptic,0,0,0,0,0,1,3
Cepheuptychia,glaucina,Cepheuptychia_glaucina,DarkCryptic,0,0,0,0,0,13,34
Cissia,confusa,Cissia_confusa,DarkCryptic,0,0,0,0,0,0,28
Cremna,umbra,Cremna_umbra,DarkCryptic,0,0,0,0,0,13,26
Diophtalma,tetrica,Diophtalma_tetrica,DarkCryptic,0,0,0,0,0,1,4
