State,Murder,Assault,UrbanPop,Rape,Unemploym,AllStudents,Disabilities,LimitedEnglish,Poor
ALABAMA,13.2,236,58,21.2,0.063,0.720,0.300,0.360,0.620
ALASKA,10,263,48,44.5,0.063,0.680,0.400,0.410,0.560
ARIZONA,8.1,294,80,31,0.080,0.780,0.670,0.250,0.730
ARKANSAS,8.8,190,50,19.5,0.074,0.810,0.750,0.760,0.750
CALIFORNIA,9,276,91,40.6,0.087,0.760,0.590,0.600,0.700
COLORADO,7.9,204,78,38.7,0.071,0.740,0.530,0.530,0.620
CONNECTICUT,3.3,110,77,11.1,0.081,0.830,0.610,0.590,0.620
DELAWARE,5.9,238,72,15.8,0.074,0.780,0.560,0.650,0.710
FLORIDA,15.4,335,80,31.9,0.071,0.710,0.440,0.530,0.600
GEORGIA,17.4,211,60,25.8,0.088,0.670,0.300,0.320,0.590
HAWAII,5.3,46,83,20.2,0.045,0.800,0.590,0.600,0.750
IDAHO,2.6,120,54,14.2,0.066,NA,NA,NA,NA
ILLINOIS,10.4,249,83,24,0.092,0.840,0.660,0.680,0.750
INDIANA,7.2,113,65,21,0.084,0.860,0.650,0.730,0.790
IOWA,2.2,56,57,11.3,0.048,0.880,0.700,0.700,0.780
KANSAS,6,115,66,18,0.059,0.830,0.730,0.700,0.730
KENTUCKY,9.7,109,52,16.3,0.085,NA,NA,NA,NA
LOUISIANA,15.4,249,66,22.2,0.070,0.710,0.290,0.430,0.640
MAINE,2.1,83,51,7.8,0.069,0.840,0.660,0.780,0.730
MARYLAND,11.3,300,67,27.8,0.071,0.830,0.570,0.540,0.740
MASSACHUSETTS,4.4,149,85,16.3,0.072,0.830,0.660,0.560,0.700
MICHIGAN,12.1,255,74,35.1,0.088,0.740,0.520,0.620,0.630
MINNESOTA,2.7,72,66,14.9,0.052,0.770,0.560,0.520,0.580
MISSISSIPPI,16.1,259,44,17.1,0.085,0.750,0.230,0.670,0.690
MISSOURI,9,178,70,28.2,0.071,0.810,0.680,0.620,0.740
MONTANA,6,109,53,16.4,0.053,0.820,0.690,0.570,0.710
NEBRASKA,4.3,102,62,16.5,0.042,0.860,0.700,0.520,0.780
NEVADA,12.2,252,81,46,0.095,0.620,0.230,0.290,0.530
NEW HAMPSHIRE,2.1,57,56,9.5,0.051,0.860,0.690,0.730,0.720
NEW JERSEY,7.4,159,89,18.8,0.086,0.830,0.730,0.680,0.710
NEW MEXICO,11.4,285,70,32.1,0.069,0.630,0.470,0.560,0.560
NEW YORK,11.1,254,86,26.1,0.075,0.770,0.480,0.460,0.690
NORTH CAROLINA,13,337,45,16.1,0.089,0.780,0.570,0.480,0.710
NORTH DAKOTA,0.8,45,44,7.3,0.030,0.860,0.670,0.610,0.760
OHIO,7.3,120,75,21.4,0.072,0.800,0.670,0.530,0.650
OKLAHOMA,6.6,151,68,20,0.053,NA,NA,NA,NA
OREGON,4.9,159,67,29.3,0.080,0.680,0.420,0.520,0.610
PENNSYLVANIA,6.3,106,72,14.9,0.075,0.830,0.710,0.630,0.710
RHODE ISLAND,3.4,174,87,8.3,0.089,0.770,0.580,0.680,0.660
SOUTH CAROLINA,14.4,279,48,22.5,0.081,0.740,0.390,0.620,0.670
SOUTH DAKOTA,3.8,86,45,12.8,0.039,0.830,0.840,0.820,0.860
TENNESSEE,13.2,188,59,26.9,0.085,0.860,0.670,0.710,0.800
TEXAS,12.7,201,80,25.5,0.065,0.860,0.770,0.580,0.840
UTAH,3.2,120,80,22.9,0.046,0.760,0.590,0.450,0.650
VERMONT,2.2,48,32,11.2,0.046,0.870,0.690,0.820,0.770
VIRGINIA,8.5,156,63,20.7,0.057,0.820,0.470,0.550,0.700
WASHINGTON,4,145,73,26.2,0.069,0.760,0.560,0.510,0.660
WEST VIRGINIA,5.7,81,39,9.3,0.062,0.760,0.570,0.790,0.680
WISCONSIN,2.6,53,66,10.8,0.068,0.870,0.670,0.660,0.740
WYOMING,6.8,161,60,15.6,0.046,0.800,0.570,0.620,0.660
