ID,sp,long,lat,No. cat,Code,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
1,lecucodon ,-103.35,24.51,L2407am,1,-0.0201549,0.00318696,0.00550465,0.00524128,-0.0119727,0.00348957,0.00697846,0.00372531,-0.00374335,0.0097359,0.0274154,-0.00501161,-0.00350446,-0.00263473,-0.00196003,0.00297627,-0.00109047,0.00167658,0.00287452,-0.0010144,0.00735405,-0.00691708,-0.00467949,0.0014182,-0.00689168,-0.00280651,0.00371106,0.00644773,0.00290683,-0.0043118,0.00280885,-0.00266036,0.00360425,-0.000555964,0.00533808,0.00605618,-0.00232716,0.00342434,-0.00826114,0.00520433,-0.00382901,-0.00362659,-0.00699196,-0.00125435,-0.00157689,0.00722109,-0.0103363,0.0086883,-0.0119974,0.00667743,-0.00816789,0.00867569,0.0242648,-0.00317661,-0.0117865,0.00367071,2.18E-05,0.00154976,-0.000715296,0.000735453,-0.00597366,0.00252926,-0.000397083,-0.00386426,-0.00564424,0.00585682,-0.00262796,0.00482259,-0.00126529,0.000356407,0.00549963,-0.00433591,0.00556205,-0.00699488,0.00277302,-5.57E-06,19.1,17.8,6.3,348.1,32.6,4.7,27.9,22.1,17.5,23,14.2,400,115,5,105,273,17,137,23
2,lecucodon ,-104.31,32.34,L7394af,1,-0.00454483,-0.0046773,0.00842879,-2.29E-05,0.00910613,-0.00302385,0.0157038,-0.00616341,0.0158048,-0.0025695,0.00963081,0.00840548,0.00713105,0.000360745,-0.00269142,-0.00236021,0.00986101,-0.00162612,0.00305933,-0.000633962,0.000744274,-0.00140721,-0.00534831,0.00293298,7.94E-05,0.00165161,0.010267,0.00339243,-0.00148268,-0.00206999,-0.00116052,-0.00256514,-0.0105003,-0.00102371,-0.0040782,-0.000299031,0.00202608,0.00164685,0.00317984,0.00279111,0.00239888,-0.00261737,-0.0106866,-0.00376905,-0.00906312,0.0109543,0.000179609,0.00317783,-0.000717769,0.00578674,-0.00382695,0.015478,0.0109452,0.0132682,-0.00871161,-0.00698469,0.000248642,0.00132539,-7.62E-05,0.0028681,-0.00267929,-0.00380956,0.00069492,0.00155054,-0.00165837,-0.00420834,-0.00246691,0.00348128,0.00372293,0.00163985,-0.000278335,0.00573602,-0.00433907,0.00281983,-0.00229031,0.00816321,17,16.5,4.4,758.4,35,-1.8,36.8,25.4,9.1,26.6,7.2,329,64,7,65,159,29,135,34
3,lecucodon ,-104.31,32.34,L7396am,1,-0.00707861,-0.0148724,-0.0166822,-0.00902976,-0.0138729,-0.0054668,-0.0129532,0.00306746,0.0156683,0.00201697,0.00288599,-0.00272907,-0.00675286,0.00110851,-0.00063344,-0.00317922,-0.00123601,0.00666774,2.80E-05,-9.91E-05,-0.00872653,-0.00114958,-0.000715393,-0.00622974,0.00280781,5.38E-05,0.00217162,0.00186315,0.00026418,-0.00213834,-0.00559926,-0.000130882,-0.00195076,0.00503336,0.00636138,-0.00528726,-0.0220474,0.000831973,0.00549817,0.00429623,0.0022955,0.00642393,0.00314696,-0.0103997,-0.00207386,-0.00789099,-0.00244909,-0.014062,-0.00180386,0.0102653,-0.000177714,0.0106791,0.0353847,-0.00672986,-0.0281136,0.00325262,-0.000696466,-0.00254106,-0.00064731,-0.00370759,0.000611469,0.0011711,0.000812043,-0.00170864,-0.00177354,0.00151161,0.00333614,0.00210864,0.0033885,-0.00462382,-0.0082902,-0.0020539,0.0150452,-0.0169027,0.0128403,0.0125581,17,16.5,4.4,758.4,35,-1.8,36.8,25.4,9.1,26.6,7.2,329,64,7,65,159,29,135,34
4,lecucodon ,-105.99,33.69,L35182af,1,-0.0197179,-0.00173876,0.00573055,-0.00122567,0.00385374,-0.0148366,0.00821638,0.00777035,0.00496767,-0.0129144,0.0155326,-0.00208887,-0.00217927,0.00357061,-0.00774363,-0.003067,0.0077543,0.0020907,0.00451769,-0.00328077,0.00481627,-0.00180727,-0.00481425,-0.00338758,-0.0015372,0.00114509,0.00497018,-0.00156611,-0.00541504,0.00175145,0.0037413,0.00474351,-0.00456729,0.00322734,0.00695092,-0.0015066,-0.000790689,0.00299384,0.0077504,0.00189462,-0.00256604,0.000365652,-0.0109193,0.00545711,-0.00503407,-0.00624063,0.00223774,-0.00748537,0.000460615,-0.00533833,0.0190991,0.0193579,0.0131803,-0.0209099,-0.0147429,-0.0147499,-0.000587431,0.00405869,-0.000615837,-0.00169239,0.00358745,-0.00409529,-0.00105667,0.00104313,0.00192769,0.0055704,0.0127021,-0.00414057,-0.0042476,-0.00368011,-0.0102512,-0.0198017,0.0346916,-0.022111,0.030915,0.00825293,13.2,17.7,4.6,764.8,32.6,-5.7,38.3,22.1,8.5,23.1,3.5,311,62,10,66,160,38,143,44
5,lecucodon ,-100.88,22.24,L36878af,1,0.00646709,0.00177107,0.0133532,0.00316489,0.00842001,0.0115983,-0.00181624,0.00382189,-0.00848147,-0.00106084,0.0498398,-0.0038532,-0.0207785,0.0116022,0.00294547,-0.00211939,0.0100948,-0.010376,-0.00745003,0.00710011,-0.0100809,0.00444047,-0.00425546,-0.00556125,-0.00973436,0.000158136,0.00953726,-0.00537291,-0.00024203,0.00648025,-0.00156354,0.0045977,-0.0111567,0.00443696,0.0191569,-0.000548007,0.00463847,-0.00165816,-0.0100281,0.00388037,0.00297415,0.0315608,-0.0169966,0.000389158,0.0038504,-0.00182241,0.00567901,-0.024123,-0.0168638,-0.0119307,-0.00187329,-0.00141573,-0.00959491,-0.00478973,0.0029237,-0.0201754,0.000584974,0.00167154,-0.000260023,0.00492979,-0.00551474,-0.00576101,-0.000835565,0.00110469,-0.00410945,-0.00408972,-0.00700795,-0.000583539,-0.000627819,0.00406691,0.00643163,0.00639104,-0.00883294,0.00172961,-0.00322751,0.00690213,18,16.3,6.5,253.4,30.1,5.4,24.7,20.2,15.7,20.8,14.5,354,63,8,70,165,27,116,29
6,lecucodon ,-105.04,38.23,L37102af,1,-3.71E-05,-0.00404611,-0.00410189,-0.00545409,-0.00187428,-0.00579246,-0.0180215,-0.00695299,0.00809951,-0.0197785,-0.026977,0.0207037,-0.0130519,0.0157176,-0.00563139,0.00112049,0.00343813,0.00452534,0.00824642,-0.004165,0.00568505,0.00474623,0.00959464,0.0022562,0.00945687,-0.00152685,0.00210068,0.00299025,-0.00434793,-0.000207759,0.00565018,0.00205685,0.000416547,-0.00167516,-0.0154069,-0.000420456,-0.00554085,0.00724431,0.0177138,-0.00489939,0.000569888,-0.000690146,-0.00207271,-0.000992852,0.00752814,-0.00119967,0.0109034,0.00233878,0.0190888,0.00941841,0.0196107,0.00978921,-0.0113444,-0.0140369,-0.0103953,-0.0229681,0.000138812,-0.000688422,0.000792009,-0.00187262,0.00177896,-0.00442252,-0.00312754,-0.000821112,0.00498391,0.00626554,0.0069161,-0.0074378,-0.00485263,-0.000909449,-0.00783878,-0.0161063,0.0174672,-0.00278783,0.0160772,0.012085,9.8,17.2,4.2,798.7,30.6,-9.5,40.1,20.3,-0.2,20.3,-0.2,370,60,12,50,152,40,152,40
7,lecucodon ,-104.89,37.53,l37103af,1,0.00301979,-0.00637474,0.0192189,-0.00571987,-0.00808181,0.022078,-0.00231993,-0.00738603,-0.0112719,0.00587543,0.0372577,0.000921097,-0.00523866,0.00929452,-0.00651711,-0.00194824,0.0115168,0.00513753,0.00176389,0.000269375,-0.00871918,0.00295185,0.00240356,0.00204071,-0.00151739,0.00104472,0.000514557,-0.001746,-0.0013583,0.000777234,-0.00697549,0.0129207,-0.00607002,0.000548425,0.0098414,-0.00553616,-0.00229342,-0.005324,0.0170489,-0.00282309,-0.00226181,0.0165832,0.00957433,0.00750146,-0.00517748,-0.00887979,0.00589435,-0.0174526,0.00433334,0.0112217,0.000458461,0.00142328,-0.01216,-0.00121444,-0.00501997,-0.00556054,-0.000156824,-3.81E-06,-0.000509423,-0.000988174,4.09E-05,-0.00273227,0.000654247,0.000447067,-0.00213126,-0.00167648,-1.66E-05,-0.000852865,0.000253568,0.000868459,0.00303204,0.00631963,-0.000777067,-0.00185636,-0.000357013,-0.0021451,7.6,16.9,4.2,790.6,28.1,-11.5,39.6,17.9,-2.5,17.9,-2.5,422,65,16,43,166,58,166,58
8,lecucodon ,-103.73,37.17,L37120am,1,-0.0248565,-0.000190806,0.0175215,0.00125916,0.00903969,-0.00404266,-0.0276519,-0.00140812,0.00782235,0.00596087,0.00232581,0.007353,-0.0566982,0.0118226,-0.00806219,0.00233853,-0.00234157,0.00324479,0.00775705,-0.000658575,-0.00404436,-0.00136596,0.00542686,-0.00204044,-0.00196171,0.00386044,0.000780727,-0.000969801,0.00459721,0.000245073,0.00947226,-0.00031917,-0.00474717,-0.00810174,-0.000157411,-0.00508054,0.00434778,0.00816626,0.0162783,-0.00732298,0.00759667,0.0226082,-0.00492485,-0.00128226,0.0066735,0.0165457,0.0102169,0.00998224,0.00568287,0.00677488,0.00581388,0.0207874,0.00818022,-0.0127828,0.000466471,-0.00868681,-3.73E-05,-0.000976306,-0.000308785,0.00128899,-0.00382522,-0.00726065,0.000105608,-0.00245201,-0.00145816,-0.00187416,-0.000720031,-0.00272151,0.000597252,-0.000766704,0.00287511,0.0114174,-0.00128515,-0.00193247,0.0017399,0.0012031,10.9,17.2,4.2,823.3,31.6,-8.8,40.4,21.7,0.5,21.7,0.5,374,66,9,60,169,30,169,30
9,lecucodon ,-102.56,37.63,L37132am,1,-0.00959504,-0.00550593,0.00645697,0.00095267,0.0110727,-0.0107216,-0.00390509,0.00864347,-0.00167882,0.00133407,0.00757443,-0.00359991,-0.012772,0.00129774,0.000263116,-0.00279037,-0.00335745,0.00223449,0.0031331,-0.00341649,-0.0020777,-0.000419478,0.000147107,0.00432374,-0.00323316,-0.000814893,0.00272258,0.0048567,-0.0126378,-0.00256376,0.00438195,0.00665559,-0.00213385,-0.00267973,0.00602948,-0.00199328,-0.00034875,0.000259967,0.00601528,0.00101829,-0.00972553,0.00496151,0.00732717,-0.000479925,0.00569263,0.0107625,0.00436442,0.00204,0.00990427,0.00957235,0.0174379,0.0262375,0.000743508,-0.00927923,-0.014905,4.46E-05,0.000187005,0.000683282,-0.000934675,0.000492453,-0.00637712,-0.0121442,-0.000619814,-0.00267691,-0.00517668,0.000427349,-0.00206903,-0.00420114,-0.000516496,-0.0024859,0.0027103,-0.00265067,0.010149,-0.0108356,0.0122453,0.00841663,11.4,17.2,4,892.8,33,-9.7,42.7,20.6,0,23,0,383,64,8,64,183,26,170,26
10,lecucodon ,-101.59,25.65,L39241af,1,-0.012279,-0.00245766,-0.0108497,0.000576149,-0.00548894,-0.00153977,0.00349794,-0.00568274,0.00114715,-0.0104485,0.0276464,-0.00107095,-0.0099221,0.0107283,-0.00597801,-0.00012423,0.00239876,0.00190685,0.00927926,-0.00413365,-0.0103151,0.00241623,-0.00423042,-0.00135507,-0.00166468,-0.00448773,0.00837041,0.00307957,0.00269216,0.00130918,0.00337243,0.00449004,-0.00286297,0.00480305,0.000750663,0.000719079,-0.0104775,0.00065572,0.0142305,0.0143141,-0.00843237,0.00646024,0.00263001,-0.000999033,0.00534471,-0.00696048,0.000511243,-0.0124033,0.0207712,0.00722794,0.0301549,0.0109453,-0.0156144,-0.013355,0.00407026,-0.0351178,4.62E-05,-0.000212415,-0.000461368,-0.00431005,-0.00454496,-0.00830108,-0.00166809,0.000643177,-0.000656038,0.000671281,-0.000539642,-0.0103646,-0.00413663,-0.000626297,-0.000120068,0.000382109,0.00681161,-0.00467847,0.0142511,0.00119629,20.7,14.6,5.1,506.1,33.9,5.5,28.4,25.6,15.4,26.6,13.9,287,54,4,68,148,26,138,38
11,lecucodon ,-102.34,21.86,L40164am,1,-0.00537577,-0.000318089,-0.0142773,-0.00777409,-0.0103658,0.020025,0.0087111,-0.00206448,-0.00815007,0.00665993,0.0399225,-0.00323797,0.00685164,-6.21E-05,-0.00121077,-0.000999613,0.0088814,-0.00704842,-0.00298526,0.00394538,0.0103621,-0.00218248,0.00389343,-0.00357775,-0.00829444,-0.00464429,0.00767726,-0.00234892,-0.011686,0.00142716,0.0146432,0.00879122,-0.00169127,-0.00376971,0.0193263,0.00269257,0.00910024,-0.00892314,0.00792109,0.00832434,-0.00263572,0.0177153,0.00175291,0.0112588,-0.00497008,-0.000413798,0.00982177,-0.00606913,-0.0132691,-0.000468072,-0.0110135,6.81E-05,0.00965979,0.0194461,-0.0178008,-0.0229425,-0.000335033,0.00287152,0.000313936,-0.000539722,0.00391889,0.00897317,-0.000327659,0.000397378,0.0034654,0.00255979,0.00755928,0.00586276,-0.000860045,0.00458698,-0.0110424,-0.0255227,0.020578,-0.00224915,0.0206435,0.0160734,17.9,17.1,6.3,293.6,30.8,3.9,26.9,20.1,17,21.2,13.8,541,122,4,95,333,21,221,42
12,lecucodon ,-102.34,21.86,L40165af,1,0.00291067,-0.00279645,-0.0106495,-0.00849844,0.00631921,0.0200183,0.00980091,-0.00242151,0.00959959,0.00944912,0.0459474,-0.00572574,0.00304084,0.000474864,-0.0027988,-0.00124154,0.000216101,-0.00831567,0.00413278,0.00511181,-0.00341041,-0.00363177,0.00520304,0.000804424,-0.0129242,0.000594072,0.00112997,-0.00474201,-0.0118312,0.00643494,0.0109993,0.00798829,-0.00221801,0.00484288,0.0240196,0.00022509,0.0226706,-0.00723981,-0.0104278,-0.000212055,0.00615139,0.0248757,0.0115852,-0.00155928,-0.00288035,0.00194468,0.00925461,-0.0129344,-0.0209542,9.52E-05,-0.0099623,-0.0412721,0.00559251,0.00365128,-0.00270754,0.000786152,-0.000133615,0.000366471,-0.000256948,-0.00108375,0.00105305,-0.00483555,-0.000810337,-0.00281451,-0.010335,0.00119714,-0.0172619,0.00180689,0.0110497,0.00235131,0.00117756,-0.00318189,-0.00174073,-0.00208306,0.00750738,0.0130656,17.9,17.1,6.3,293.6,30.8,3.9,26.9,20.1,17,21.2,13.8,541,122,4,95,333,21,221,42
13,lecucodon ,-101.23,26.59,L41053af,1,-0.00154186,-0.00439377,0.000233611,-0.0083241,-0.00820815,-0.0111838,-0.00541333,-0.00439681,-0.00834542,-0.00471303,0.0218428,-0.00178191,0.0124996,0.0183169,-0.0148568,-0.00467145,-0.0105707,-0.0010628,0.0146772,0.0038796,-0.00222253,-0.00378651,0.00784813,-0.0033356,1.12E-05,-0.00755819,0.0104548,0.00725178,0.0122916,-0.00322467,-0.0112119,-0.00524461,0.00894739,-0.00219272,0.00102425,0.00437184,-0.0126006,0.000970834,0.0119437,0.0112977,-0.00585898,0.00116589,-0.00315381,-0.00666859,0.0113798,-0.0191461,-0.00210251,-0.00685288,0.0297313,0.00761023,0.0106536,0.024291,0.0134013,-0.0165401,0.0167676,-0.0330754,-0.00026377,0.000116815,-0.00117839,-0.0010775,0.000874079,-0.00101414,0.00114224,0.00114964,-0.00837201,-0.00178494,-0.00601676,0.00416744,0.00699337,0.00160592,0.00196818,0.0103076,-0.000472916,-0.010922,0.000451315,0.00409613,19.6,14.4,4.9,547.1,33.1,3.9,29.2,25.1,13.7,26,12.1,323,68,7,71,159,25,127,27
14,lecucodon ,-104.24,23.8,L49597af,1,-0.00475131,-0.00405664,-0.0106628,-0.00159523,0.00901433,0.00245708,0.00695742,0.000578595,0.000892872,-0.00986715,0.0133943,0.00699422,-0.0134817,-0.00481978,-0.00950997,-0.00207835,0.00386486,0.000623542,0.00843861,-0.00101009,-0.00682818,0.00196011,-0.0128272,-0.00264488,-0.00570272,0.00268346,0.0061628,0.00143308,0.00371345,0.00323238,-0.00108009,0.0044433,-0.00340497,0.0048709,0.00864599,-0.00353453,-0.000323524,0.000706951,-0.0145097,0.000414777,-0.013955,0.000971383,0.0113289,0.00175527,-0.0100475,0.0123888,0.00753635,0.0113002,-0.00744681,0.00973094,0.00262081,0.00442566,0.00445563,-0.00702325,0.00578435,-0.0245622,-3.30E-05,0.000216714,-0.000215866,-0.000403366,-0.00162333,0.000851379,3.41E-05,-0.00010564,-0.001329,-0.00405809,0.00287967,0.0031196,-0.00164717,0.0102196,-0.00433984,-0.001385,0.00697655,-0.00670397,0.00940043,0.0151509,18.1,15.4,5.8,375.3,30.8,4.5,26.3,21.2,16.4,22.3,12.9,450,106,2,105,300,13,189,30
15,lecucodon ,-102.49,22.68,L49598af,1,0.00681684,-0.00744322,0.00517539,-0.0120408,-0.00363831,0.00533251,0.00625018,0.000559207,0.00603904,-0.00367086,-6.18E-05,0.00162617,-0.013673,0.0020993,0.000390286,0.002272,0.00109653,0.0030047,-0.00081436,-0.00146599,-0.0058476,-0.00136222,-0.00383721,-0.000430335,-0.00684639,-0.0018067,0.00824692,0.00590152,-0.00640948,-0.00174109,-0.00599584,0.00608621,-0.000409495,0.00332367,0.0127967,0.000810427,0.0055673,-0.0024912,-0.0196597,0.00838401,-0.00731508,0.00523543,0.0102468,0.00289828,0.00509946,0.00142177,0.008634,-0.00374212,-0.00444938,-0.000203965,0.00339038,0.0195798,0.00760258,-0.00181557,-0.0411499,-0.0133424,-0.000347216,-0.000730042,-0.000202873,-0.000873756,0.00383028,0.00108099,0.00279992,0.00131529,5.21E-05,-0.00998077,0.00426249,-0.00193994,0.00907876,0.00508043,-0.01123,0.00492283,0.00696543,-0.00938883,0.00682009,0.0185879,16.3,17.5,6.6,269.4,29,2.8,26.2,18.3,15.3,19.3,12.4,390,80,2,85,227,12,152,40
16,lecucodon ,-102.49,22.68,L49599af,1,0.0207086,0.000640283,0.0027474,-0.011358,0.011006,0.00817561,0.00170443,-0.00261162,-0.0110687,-0.0107286,0.0299663,0.00283763,-0.0253696,-0.0101832,-0.005186,-0.000384134,0.0102211,-0.00544424,5.47E-05,0.00180324,0.000293593,-0.0016369,0.0073961,-0.00181108,-0.00242722,-0.00206972,0.00139681,0.00348943,-0.00396128,-0.00192925,0.0137695,0.00124447,-0.00460576,0.000427555,0.00500113,0.00118327,0.00553622,-6.94E-05,0.0175855,0.000461933,-0.000829317,0.00536047,0.000943448,0.0031394,-0.00194509,0.00448359,0.0015731,0.00102859,-0.00547822,-1.63E-05,0.00307246,0.00436307,0.00163251,-0.00826896,-0.0101267,-0.0255436,-0.000322011,-3.84E-05,-0.000172509,-0.0027095,0.00380853,-0.0060099,0.000481542,0.000680896,0.00274747,-0.00421427,0.00872011,-0.00922985,-0.00103187,0.00147602,-0.0061818,-0.00825828,0.0151459,-0.00668503,0.0149237,0.00595831,16.3,17.5,6.6,269.4,29,2.8,26.2,18.3,15.3,19.3,12.4,390,80,2,85,227,12,152,40
17,lecucodon ,-106.48,31.75,L52180am,1,-0.00942045,-0.0101718,-0.0145071,0.0125864,-0.00549161,-0.00862851,-0.00218199,0.00489755,-0.0102574,-0.00601878,0.000210646,0.00165026,-0.00660784,0.00898222,-0.00323447,0.000172936,-0.00874756,0.00338843,0.0103508,-0.00165245,-0.0141768,0.00102676,-0.0104632,-0.00500498,0.00463472,-0.000292534,-0.00504415,0.00609114,0.00650929,-0.00106139,0.00595336,0.000780275,0.00807596,-0.00271372,-0.00876779,-0.00212281,-0.0145193,0.000955306,0.00476386,0.00374127,-0.0124863,-0.00376498,-0.00155025,-0.00126079,-0.0056074,-0.00732409,-0.00690639,-0.00208487,0.0139316,0.00971933,0.0021994,0.00282629,0.0122421,-0.0110173,-0.00257591,-0.0240178,0.000451603,0.00088671,-0.000271015,0.00398882,0.000842929,-0.00400412,-0.000348762,-0.00311575,-0.00872999,-0.0010913,-0.00953954,0.00146373,0.00679414,0.00222904,0.00260534,0.00352724,-0.000778643,-0.01039,-0.000737761,0.0105504,17.4,16.8,4.5,767.8,35.8,-1.4,37.2,26.1,17.4,27.1,7.5,220,42,5,67,117,20,99,37
18,lecucodon ,-106.09,35.62,L52352af,1,-0.0191013,-0.000139807,-0.00347705,-0.00230436,-0.00540048,0.00396996,0.0057088,-0.00882762,0.00275835,-0.00394022,0.0186064,0.00432986,-0.0267272,0.0115649,-0.00397857,-0.000264702,0.00672919,0.00306999,0.00123218,0.000817844,-0.00936628,0.00206689,-0.0014707,0.00475526,0.00511931,-0.00310962,0.00532646,0.00492152,0.00886681,-0.00480108,0.000543098,0.00129059,0.00274071,-0.00226622,-0.0107648,-0.00198805,-0.0113921,0.00223698,0.0216987,0.00311077,-0.0102903,0.00716373,0.00251179,0.00324226,0.00365892,-0.00487192,0.00587772,0.000632335,0.00707029,0.0103949,-0.000954359,-0.00141327,-0.000145662,-0.00671797,-0.00429922,-0.0158273,-0.000149622,-0.00280498,-0.000170868,-0.000841378,0.00165244,-0.00749063,0.00014344,0.00224943,0.00118552,0.0011058,-0.000675684,0.00117392,0.00701071,-0.00796604,-0.00934202,-0.00485501,0.00626248,0.00259118,0.00864614,0.0170037,10.9,16.5,4.3,812.3,31,-7.3,38.3,20.6,0.7,21.4,0.7,329,60,14,53,153,46,139,46
19,lecucodon ,-104.78,27.8,L54811af,1,-0.00860653,-0.00291425,0.00219212,0.00248118,0.000975898,-0.0154223,-0.00951016,0.0116062,-0.000392524,-0.00284564,0.0510547,-0.0121237,-0.00838938,0.0145835,0.00116292,0.00489462,-0.00137777,0.00805466,-0.00277987,-0.00562157,0.00916612,0.00548119,0.00360207,0.00217776,-0.000980337,0.000753355,0.00179009,-0.000462733,-0.000154309,-0.00137037,0.00284203,0.00580949,-0.00384265,0.00714407,0.0039192,-0.0049127,0.00336936,-0.00250391,0.00320797,0.00709698,-0.00189052,0.00664393,-0.000934111,-0.00283393,0.0170856,-0.0101161,0.00804707,-0.0145479,0.0039778,0.01227,0.0117914,0.00659903,0.0109498,0.00892747,-0.0133903,-0.0253897,7.56E-05,-0.000582504,-0.000877684,-0.000790585,-0.00222114,-0.00445536,-0.00191751,-0.000238586,-0.00435684,0.00889644,-0.00196557,0.00407278,-0.00216418,-0.00154495,0.000832834,-0.00574323,0.00922225,-0.00501383,0.00983766,0.00341641,18.4,16.7,4.9,615.2,34.4,0.5,33.9,24.5,15.2,25.8,10.1,351,82,4,95,223,19,202,25
