Sp1,Sp2,Sp3,Sp4,Sp5,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27
7,8,8,7,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,7,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,12,4,9,7,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9,11,15,5,8,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,8,4,5,8,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,2,7,11,7,2,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,4,8,13,6,8,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,6,6,3,9,11,6,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,3,2,6,6,6,8,4,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,3,7,5,10,6,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,3,7,9,1,8,5,5,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,1,1,3,11,6,12,8,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,3,5,6,8,8,12,3,5,2,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,1,1,4,6,3,5,8,3,3,2,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,5,2,3,7,10,7,6,4,1,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,3,5,4,12,4,13,7,3,1,0,2,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,2,2,5,6,9,7,6,3,4,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,3,3,9,7,8,7,2,3,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,1,2,1,8,8,9,7,11,4,2,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,2,3,7,11,6,7,3,11,8,3,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,9,10,8,6,4,8,4,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,4,8,9,13,5,0,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,9,16,5,3,8,2,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,3,5,10,10,5,2,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7,6,10,9,3,5,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,3,12,13,10,8,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,10,6,8,3,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,8,5,8,8,8,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,8,7,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,9,10
