,ALL.1,ALL.2,ALL.3,ALL.4,ALL.5,ALL.6,ALL.7,ALL.8,ALL.9,ALL.10,ALL.11,ALL.12,ALL.13,ALL.14,ALL.15,ALL.16,ALL.17,ALL.18,ALL.19,ALL.20,AML.1,AML.2,AML.3,AML.4,AML.5,AML.6,AML.7,AML.8,AML.9,AML.10,AML.11,AML.12,AML.13,AML.14,AML.15,AML.16,AML.17,AML.18,AML.19,AML.20,CLL.1,CLL.2,CLL.3,CLL.4,CLL.5,CLL.6,CLL.7,CLL.8,CLL.9,CLL.10,CLL.11,CLL.12,CLL.13,CLL.14,CLL.15,CLL.16,CLL.17,CLL.18,CLL.19,CLL.20
g0,9.638624296069267,9.214783668068712,9.916347740103237,8.742269500287264,8.372759126094184,9.857444565131425,9.070904986452277,10.467382080889774,8.55919493264351,8.646450470958465,9.638855763709746,10.021486211186636,8.790874135391945,7.425216066525706,10.390318695805558,7.574449762216869,9.462010982680969,9.111341252153444,8.282840987216655,8.27245582457353,8.561922881920403,8.016668340576777,9.400369364729338,9.718678002206476,8.460134602135879,8.659874211115836,10.038120883593763,9.296247384904904,10.024179441806666,8.41733412641073,8.090090991404193,12.41795553474865,11.232284330251325,8.517594984196409,6.691434405009669,9.330153069589839,10.194737448135292,8.191025815922357,7.769868971259109,11.504042317758561,5.057833641459582,6.410652604284599,5.982967111331145,6.160256037555175,4.65097901660536,5.405563229387423,5.684257334753252,6.011607960005047,4.657710501990818,7.089385429008847,5.967780822861114,5.330885630100915,5.184594267849078,4.543522956018222,5.150972126804673,5.753104064318387,6.1654196248356845,5.750684232831291,4.812424872721637,6.235014760357755
g1,5.813672140805712,7.114072221947224,5.993751393793501,5.379630049131605,4.828356109488746,6.415048576007318,7.193006453475329,6.519342831598228,4.115298940468365,5.281346296344704,6.171323022852664,3.822468149431006,6.36826761004409,6.624807531126482,6.190951787190124,5.5306529513156,5.886319735489525,7.372342756658605,5.6997007087211085,6.016721358778868,6.934027077182162,6.82860857295217,4.7154025357631255,5.407789822019805,6.018668769863196,6.205241168508267,6.203525237034016,6.6098114907019605,5.034330560330004,5.668419089058978,6.007721239191065,4.588644357239031,6.48329826121706,5.107150189141603,6.158203381729844,5.25435015466303,5.270225731189967,6.089737968718298,5.934417658568665,6.8172936851938255,6.12607484884049,5.98152748847436,5.7370283125616925,4.298256657940534,5.292052152240624,6.434430853934987,8.873955879933558,6.706229555122684,5.362760851106073,5.845500569255387,6.389510071391536,5.161953886649349,5.593815678186301,7.301499521649224,5.231611425370391,6.948859957092624,6.8528275340404035,4.164635305178755,5.2906018956808625,5.131673122617272
g2,4.622178614111404,4.405116885404041,5.8428933996298325,5.895891105366432,6.8968029415796925,8.009140956248803,6.922028045383009,5.381867925563432,6.777907895494437,5.336044428826812,6.590517389146448,6.590004278363551,6.688777968275026,5.765907253237603,4.985079748200858,6.761859838805405,4.524300532657045,6.832110147285544,4.791974943937145,5.3884510784976225,8.985599581341834,7.811648770796973,7.50391476649154,9.039748798993195,10.32164724878846,10.02375986085088,8.46926148471575,11.234872835144657,8.98348183326915,10.316445286730398,8.847036481920322,9.504907030932772,9.592856995268466,10.8842234201904,9.152644334330464,10.201577838933629,10.615436143957455,9.625022747191121,10.89035448598509,7.011094962238625,6.148543808272593,6.71359123557967,5.307319753010288,5.238454751287975,6.545148136276283,5.293468815384983,5.774135858769683,7.443391661582509,5.383555139766201,5.551298865195983,5.6501432289103795,4.5993350388941225,5.180825491874494,4.764222474429169,7.214489515806266,5.311679686834784,6.5969283133260745,6.111095208123354,6.918061460716604,5.874503257025796
g3,5.649480902395324,7.916568556625183,6.44953963299424,6.729046036279582,5.432030510273949,6.204514151628935,8.237286262440167,4.575413282894614,6.131931275449383,6.615702996922919,7.394405551158972,6.492288320841187,6.79251679332185,6.492261035533072,7.705715460843452,6.226757763980635,6.11143189827568,6.7631629139516445,5.419426528644305,5.256361117869215,6.005634746482743,6.915774961733799,7.390140305847177,5.426201730037959,6.029453064848251,6.106138853202966,7.610281918895097,6.295358218773695,6.727918974241215,6.420128587760486,5.701843201127626,5.23196648485963,4.317991942699229,5.340697811210069,6.514455306369641,7.810508790154103,4.97440570595546,7.108167324052658,7.531366730206467,5.177780630704652,4.8773195699779395,5.053674675594396,6.412280320239771,7.841956169316987,5.396783095260512,6.275781641217119,6.2485312203390055,7.023636754350765,6.132632909865461,6.891171424462476,4.89017492561399,6.489486894347371,7.6427707278398795,4.978529449832722,5.804027181625146,6.753632347953465,6.247199242765155,4.7815760094283615,7.104472677835432,7.129006827327618
g4,6.974180110090123,7.601518957442118,6.462656494058439,6.885853225278994,4.125947223688864,5.32644659611635,6.42492398361518,6.903268012088926,4.25253794077245,5.679833073692828,4.854861462703904,4.915223391008684,4.672927653791894,7.635439674988867,5.009779839948719,4.754899283423612,7.301811142092302,7.210008066370557,6.478506816523705,6.711746695353821,4.446439693211698,7.139660102759107,5.17509667119233,5.95285995333966,8.281114780211825,6.307440218672856,6.548025709599816,6.374244479366241,6.9805903412160335,7.748504173617445,4.666786331082875,5.7043765401712765,6.960209513753595,5.558124244159085,6.494112300874546,5.5737348134399785,5.34503509770765,6.288262892185518,4.010820717874758,6.428769256386617,5.774111300857667,7.111505262441429,4.650775479113492,4.905239019768407,3.9196678162394756,6.953734660535616,4.677106021566971,7.375104026873117,6.489853891723927,6.808557546488821,6.457914277752167,5.554919988134575,5.823056400339335,6.300280881595655,4.77866041411624,6.29547866874161,4.791649515254483,7.554007920262203,5.6350837713703665,4.214416671130051
g5,9.297144047452878,10.701665793751308,9.217430432561514,9.82921843193472,9.372629344696296,10.71058288081213,10.321787608547378,10.114372725842486,10.096435986923398,8.537842076487582,8.231150820306176,8.874730166022356,8.669387591176086,10.390955244681244,9.911373763749083,10.862545367079141,7.55236672205405,9.898204719525609,8.079333613941305,10.004202184214558,6.569227584541359,6.579448022772129,6.782699501517972,6.513060114338,6.141649227214645,7.28849803506527,4.244414109872023,7.5760401438882425,7.109488982770555,5.075057272900714,5.15261850261962,6.755011117899252,6.024356281992424,5.069414947607292,7.454253011296548,6.024317911412927,6.80731387795692,3.395797089597873,6.5570150952307324,5.4775968658514635,6.276126730965819,4.155443020084597,5.426802937760321,4.5968070015184725,5.695902157678523,6.478675405973526,5.686310848295587,6.880208540321618,5.164263136882025,5.809915928029984,5.350319865751909,6.583374135566159,6.4392870937897175,4.9256656937669,6.026526107034284,7.4173083023118735,6.898677034955453,6.4808561177865425,5.650554118858794,4.444665673475313
g6,5.7901368613652915,6.608788889835709,6.659653696049275,6.480661227631801,7.064242364734623,5.774788541387513,5.710305466253397,5.319946237493827,6.163948373358415,5.597785422797849,5.100286222006227,5.519573921642011,6.3146467093917575,7.563831491073049,6.415275282501115,6.103094916569547,6.018896130922928,5.548525586464071,3.8944907518008476,6.861151759161472,6.180923815261476,4.115383763056388,6.49077506231271,5.455907430227853,4.350586044883939,5.696916534528025,6.018719411124985,6.790550431906121,8.056705103943347,6.284524349566798,7.006719306532527,6.843574072549934,5.808572589287326,5.741532937620774,6.526858509883433,7.194735188712162,6.121929247712222,5.771938607849853,6.235320600566051,5.782271596209526,5.616045092347412,7.231425090626997,5.802669238718123,6.611192725013865,5.614090693479704,6.282885267706073,5.669503987778852,4.7604722585285035,6.7847661869221785,7.117609300900969,4.454037966477308,7.161831726279402,5.620945006717148,5.711013444747964,5.810773103654291,5.865394848874847,4.729334475857234,6.109783804613679,7.4953656557744015,6.228574229851856
g7,6.834616671534651,6.9875271456135,6.613231044173626,6.257185406913133,4.5224498782183264,5.508450386654849,5.572587422108367,6.8260161852514365,7.312442954446671,6.604101468581784,4.777061402500444,5.8639825437118045,7.0580455270555,6.815778942525525,7.045381825862675,5.605375367860673,4.765502723324012,5.747433749298147,7.759978237454254,4.843495288162236,9.36417639054423,9.129734492480907,9.579567711885266,9.336450646933184,9.015160386108118,8.255454610903943,11.817568875967734,9.182554747323259,7.506712282033606,10.462269869694122,9.349674524553464,9.287238985545072,9.516744116436971,9.39777617557531,10.347766764018099,7.496312000485238,9.01941042458179,10.713263892235961,10.649162353001538,9.179451307715073,3.6903634175146447,5.4499523608135645,6.07653639667972,5.841361159802572,6.441714759463493,5.111508893214484,7.586914669918521,5.953348383669959,5.971902160421519,5.917005939292041,5.810600053699704,5.667693948508145,5.977698678963389,6.648120490413919,5.916733768768563,5.740434342157002,7.599954455999654,5.361237501245744,6.5340076260291635,5.339058570432709
g8,5.7339387101937564,5.330259112467318,5.957616905121132,4.668474428078392,5.951155460545761,7.6589554514279605,5.822243143803612,6.171946449938368,6.0412710340643425,5.1311294410215975,5.967142854764087,5.937274573916441,5.164000233336448,4.677472922948267,6.041107825759611,5.770025246677789,6.1369037772882935,4.655607609925076,5.043059855481315,5.0562126113359085,6.497385573461703,7.2822535997801285,4.898374516035215,6.353293331206144,7.007448993071725,4.9748812839104115,6.3324471280527685,5.225630580943659,6.108073931121546,4.3084046741309425,5.6490075218460225,6.320466568298994,5.330763432255123,5.288007275772542,5.071534825533522,6.053306877705239,5.950238276621155,7.09761498955357,6.517206690618943,6.022306394022572,5.766527815442986,7.255887474046499,6.1871570107467155,5.291248497282484,5.810003374607783,8.99571913010923,7.399761596898738,4.382381787037419,6.74400886054037,7.602139615294905,4.222567641101656,5.223238193329772,4.77836042354466,6.53871295057121,5.544809170130764,7.256088228505876,7.617149585992058,7.160142986488199,5.635968098340272,6.789152856298659
g9,5.220895952536662,5.640882134241751,4.975167787184105,5.830069000080623,5.523377545900045,7.155082992252938,5.562011041475369,5.244938939971514,5.774699563795469,5.744630666939522,5.6041282411388105,5.584123932902911,6.970730793929489,6.490790161881307,6.328904917639415,6.073041846216864,8.160188685257063,7.778005515333103,6.911407878883921,6.1142987894978935,6.67601048064198,5.417389358690161,5.146311685764866,6.0795829659740495,7.069064775546174,5.509167235430297,5.941246953227598,4.687671954418608,6.994984124816056,5.74504823289366,5.4777861874814135,7.096850802376363,6.584459433138809,7.189930895370188,4.877959858324019,6.9707250604669,4.410480981948571,5.761676840692908,8.731670811641322,5.537703627940089,5.6207658892894905,6.358013319756384,6.6568302980495,3.9563490901796143,5.510580496769928,6.039764163635564,4.596047286018527,6.589214888362201,5.400685602652383,7.847171254484714,6.658300379700878,5.034745004602106,5.565757959925573,5.390021526094326,5.790488397476529,4.747223115973551,7.728340891075312,5.918192818620767,5.262606957152267,5.858642377595799
