Species,Biomass,Tmp,Precip,pH,Soil
2,4.780810391,-0.1039863,4.218501,5.784002,clay
4,4.831542449,4.7500854,64.413965,6.043375,clay
3,4.417276192,4.8967852,238.547157,5.68081,clay
3,4.870507888,5.4549213,134.573556,5.752822,clay
4,3.497603852,5.6274402,88.6726,6.038005,clay
6,8.3,5.9217735,33.459224,7.080755,loam
7,9.390953422,6.2121175,87.427268,7.94805,sand
7,4.364541206,6.3087098,39.541032,6.14957,clay
8,1.671638196,8.7306433,-18.861711,6.356637,clay
7,3.678761859,9.1436055,308.882751,5.955477,clay
8,2.325963179,9.161846,176.623938,6.283395,clay
9,8.1,7.6607635,81.767156,6.974948,loam
9,3.252286524,9.8814415,7.562666,6.152347,clay
8,1.555336555,10.0903573,10.168697,5.972075,clay
7,1.507953837,10.5639709,2.109219,6.208857,clay
9,7.7,9.2075383,181.89718,7.256236,loam
11,9.981770129,10.5729168,121.816245,8.056668,sand
10,2.366553089,10.7586034,154.375932,6.247514,clay
11,5.696963821,10.6018679,206.587219,6.667498,loam
12,9.572128635,10.7860528,139.371947,7.84547,sand
15,8.745929177,10.8340262,209.435982,7.966589,sand
11,2.46916355,10.9012885,151.940152,5.552634,clay
12,2.995705821,10.9209183,76.767581,5.894205,clay
13,0.652667143,11.7895416,183.657162,5.435075,clay
13,2.510720525,11.9894456,170.71702,6.231598,clay
15,4.905623865,11.3556323,151.639635,6.934165,loam
13,5.343305425,11.7740102,190.608638,6.87548,loam
14,2.870053904,12.2824226,80.579563,6.040245,clay
16,0.077560095,12.6899968,75.933184,5.699779,clay
14,3.538199085,12.8721854,82.411639,5.786116,clay
14,0.863515079,13.2974394,58.738175,6.02996,clay
15,2.629217082,13.5909233,156.029694,5.921196,clay
16,1.429020407,13.6244304,10.29579,6.25871,clay
15,5.658722899,13.1346951,13.715345,6.95199,loam
15,4.617909137,13.2780459,176.255088,7.538059,loam
16,3.885288176,13.9134434,45.233404,7.140484,loam
17,0.289722659,14.4208616,300.323292,6.526805,clay
17,1.120740925,14.4900815,29.95042,6.255168,clay
17,6.093016876,14.1811804,204.910423,6.630424,loam
18,7.511650634,14.5048125,80.560989,7.891036,sand
18,8.503632993,14.6800756,265.51129,7.177835,sand
19,0.100847904,16.1509252,182.16246,6.193316,clay
18,0.050175289,16.1915372,86.73109,6.06475,clay
18,3.00027434,14.7183161,20.101393,6.438799,loam
22,2.232122387,15.7312012,185.06954,6.707721,loam
19,8.132202505,16.4288058,252.871651,8.109033,sand
19,0.138596089,16.648239,221.329706,5.830244,clay
19,1.292919034,16.8292586,58.720838,5.41613,clay
19,0.482836915,16.8858174,120.755865,6.031032,clay
19,4.626505411,16.4980891,53.843643,6.820707,loam
20,5.367717087,16.9158537,95.054254,7.544593,sand
21,6.421938112,17.0643991,131.588034,8.539039,sand
20,3.216451335,17.214472,68.64812,6.478245,loam
20,5.120968439,17.5727332,210.411825,7.0088,loam
21,7.065526382,17.6049421,66.487598,7.10622,sand
21,2.551042556,17.9052259,143.365893,7.458142,loam
21,4.979884675,17.9668073,168.796525,7.095324,loam
22,3.50548891,18.0785652,173.217663,6.882815,loam
23,6.68468591,19.0268815,265.84861,8.201696,sand
23,1.478232688,19.076504,129.176602,6.838767,loam
24,4.136129299,19.1167813,223.621443,7.882982,sand
24,0.553688929,19.1344899,62.239937,7.271278,loam
24,0.730062798,19.3668991,262.223088,7.235274,loam
25,4.366792653,19.4718522,275.964226,7.904419,sand
24,5.137176521,19.5591916,182.130927,7.619595,sand
28,0.511278577,19.6248731,75.080669,7.049194,loam
25,2.934558004,19.8206408,237.330055,6.84397,loam
26,6.560842148,19.8707054,51.85519,7.997369,sand
26,1.990296437,20.6138367,76.72005,7.161688,loam
26,2.91263671,20.8546906,131.521709,6.951321,loam
27,1.158068376,20.9519784,225.487426,6.54381,loam
28,1.526934202,21.4105348,58.709645,6.728628,loam
29,5.481974683,21.7675819,156.535974,7.472763,sand
29,0.175762697,21.9974942,197.242469,6.652153,loam
30,0.469297221,22.3044797,234.106767,7.754562,sand
31,2.532043235,22.3703274,178.309348,7.997137,sand
33,3.407941525,22.6491356,81.719916,8.23697,sand
30,1.376778303,22.7203229,42.923285,6.895557,loam
31,3.222882069,22.7238369,15.46743,8.735555,sand
31,0.739569861,23.0383772,78.925644,6.540343,loam
33,4.605045962,23.4447746,50.393454,8.096294,sand
34,2.325120818,23.9011718,151.539765,8.210268,sand
35,3.925787136,24.1167409,113.575698,8.476985,sand
35,1.236973905,24.4223963,53.630343,8.029062,sand
36,7.242062143,25.3615517,153.082217,8.133548,sand
39,1.730870426,26.011257,53.476913,8.258634,sand
39,0.086653665,28.4670589,189.835361,7.959267,sand
39,0.76488801,29.077226,344.120932,8.224961,sand
39,1.176470196,29.8417225,306.753643,7.876639,sand
44,2.089778481,29.9725057,173.673323,8.442127,sand
